leading_edge_gene	n_pathways	pathways
IL15RA	3	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL18	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL2RB	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
IL4R	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
IRF1	3	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
KLF10	3	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
LCK	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING
LTB	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING
MAP3K7	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_TGF_BETA_SIGNALING
MAP3K8	3	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFIL3	3	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NPM1	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
RIPK2	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SDHC	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
SLC2A3	3	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SLC7A5	3	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_MTORC1_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
SUCLG1	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
TNFRSF1B	3	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
ABCA1	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ACACA	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
ACVR1B	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
AIFM1	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP2B1	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ATP5PO	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
BCL3	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD36	2	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM
CD48	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
CDK4	2	HALLMARK_MYC_TARGETS_V1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
CFP	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MTORC1_SIGNALING
CIDEA	2	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM
COX7B	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
CSF3R	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
CXCR4	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
DAPP1	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
DENND5A	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DLAT	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
DLST	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ECH1	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
EIF3D	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MYC_TARGETS_V1
EIF4A1	2	HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ERO1A	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ETF1	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
ETFB	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ETFDH	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
FASLG	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING
FH	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
GADD45B	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
HADHB	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
HBEGF	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
HDGF	2	HALLMARK_HEME_METABOLISM,HALLMARK_MYC_TARGETS_V1
HES1	2	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_TNFA_SIGNALING_VIA_NFKB
HIBCH	2	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM
HK2	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING
HPRT1	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
HSPA5	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
IFRD1	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
IL12RB1	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL6_JAK_STAT3_SIGNALING
IL18RAP	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE
IL1R1	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
IL2RG	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING
IL7R	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IMMT	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
INHBB	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ESTROGEN_RESPONSE_EARLY
IRF4	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL2_STAT5_SIGNALING
IRF7	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE
ITGB2	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MTORC1_SIGNALING
LYN	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE
MAFF	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
MDH1	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
MRPL15	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
MTHFD2	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
MYD88	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
NCK1	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING
NDUFA5	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
NDUFAB1	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
NDUFS3	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
NFKB1	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFKBIB	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
NHP2	2	HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
NLRP3	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE
NME1	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MYC_TARGETS_V1
NOLC1	2	HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
NOP56	2	HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ODC1	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MYC_TARGETS_V1
P2RY2	2	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_INFLAMMATORY_RESPONSE
P4HA1	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING
PDE4B	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PDHA1	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
PDHB	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
PF4	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL6_JAK_STAT3_SIGNALING
PHLDA1	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PHYH	2	HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION
PIM1	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING
PPP1CA	2	HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_TGF_BETA_SIGNALING
PRKCB	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING
PSMC4	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
PSMC6	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
PSMD14	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
PTPN11	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
PTPRE	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RAF1	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING
RELA	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RETSAT	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
RGS16	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
RRP9	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1
SDHA	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
SDHD	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
SELL	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE
SLA	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
SLC1A5	2	HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING
SLC7A11	2	HALLMARK_HEME_METABOLISM,HALLMARK_MTORC1_SIGNALING
SQSTM1	2	HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
STC2	2	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
SUCLA2	2	HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
TGIF1	2	HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP6	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFRSF1A	2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING
TNFSF9	2	HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TUBB2A	2	HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
UBE2N	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_PI3K_AKT_MTOR_SIGNALING
WARS1	2	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_MTORC1_SIGNALING
AADAT	1	HALLMARK_FATTY_ACID_METABOLISM
ABCA3	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
ABCB8	1	HALLMARK_ADIPOGENESIS
ABCF2	1	HALLMARK_MTORC1_SIGNALING
ABHD2	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
ACADS	1	HALLMARK_FATTY_ACID_METABOLISM
ACADSB	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACAT1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACOT2	1	HALLMARK_FATTY_ACID_METABOLISM
ACP1	1	HALLMARK_MYC_TARGETS_V1
ACSL1	1	HALLMARK_FATTY_ACID_METABOLISM
ACSL3	1	HALLMARK_MTORC1_SIGNALING
ACSL5	1	HALLMARK_FATTY_ACID_METABOLISM
ACSM3	1	HALLMARK_FATTY_ACID_METABOLISM
ACTR2	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ACVR1	1	HALLMARK_TGF_BETA_SIGNALING
ACVRL1	1	HALLMARK_IL6_JAK_STAT3_SIGNALING
ADAM17	1	HALLMARK_WNT_BETA_CATENIN_SIGNALING
ADAM19	1	HALLMARK_IL2_STAT5_SIGNALING
ADCY2	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ADGRE1	1	HALLMARK_INFLAMMATORY_RESPONSE
ADH1C	1	HALLMARK_FATTY_ACID_METABOLISM
ADIPOR1	1	HALLMARK_HEME_METABOLISM
ADIPOR2	1	HALLMARK_FATTY_ACID_METABOLISM
ADM	1	HALLMARK_INFLAMMATORY_RESPONSE
ADRM1	1	HALLMARK_INFLAMMATORY_RESPONSE
AFG3L2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
AHCY	1	HALLMARK_IL2_STAT5_SIGNALING
AHSP	1	HALLMARK_HEME_METABOLISM
AIMP2	1	HALLMARK_MYC_TARGETS_V1
AKT1S1	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ALAD	1	HALLMARK_FATTY_ACID_METABOLISM
ALAS1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ALAS2	1	HALLMARK_HEME_METABOLISM
ALDH1A1	1	HALLMARK_FATTY_ACID_METABOLISM
ALDH2	1	HALLMARK_ADIPOGENESIS
ALDH6A1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
AMFR	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
ANGPT1	1	HALLMARK_ADIPOGENESIS
AOC3	1	HALLMARK_FATTY_ACID_METABOLISM
APBB1	1	HALLMARK_ALLOGRAFT_REJECTION
AQP7	1	HALLMARK_FATTY_ACID_METABOLISM
AQP9	1	HALLMARK_INFLAMMATORY_RESPONSE
AR	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
ARF1	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ARHGDIA	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ARPC5L	1	HALLMARK_MTORC1_SIGNALING
ATF1	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
ATF4	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ATF6	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ATG4A	1	HALLMARK_HEME_METABOLISM
ATP5F1A	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5F1B	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5MC1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5MC2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5MC3	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5ME	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5MF	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5MG	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5PB	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5PD	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP5PF	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP6V0D1	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
AXIN1	1	HALLMARK_WNT_BETA_CATENIN_SIGNALING
AXIN2	1	HALLMARK_WNT_BETA_CATENIN_SIGNALING
B4GALT5	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
BACH1	1	HALLMARK_HEME_METABOLISM
BAG1	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
BAG3	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
BATF	1	HALLMARK_IL2_STAT5_SIGNALING
BCKDHB	1	HALLMARK_FATTY_ACID_METABOLISM
BCL2A1	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
BCL2L1	1	HALLMARK_IL2_STAT5_SIGNALING
BLVRA	1	HALLMARK_HEME_METABOLISM
BMPR1A	1	HALLMARK_TGF_BETA_SIGNALING
BNIP3L	1	HALLMARK_HEME_METABOLISM
BPHL	1	HALLMARK_FATTY_ACID_METABOLISM
C3	1	HALLMARK_ADIPOGENESIS
C5AR1	1	HALLMARK_INFLAMMATORY_RESPONSE
CA1	1	HALLMARK_HEME_METABOLISM
CA4	1	HALLMARK_FATTY_ACID_METABOLISM
CAB39	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
CASP3	1	HALLMARK_IL2_STAT5_SIGNALING
CAST	1	HALLMARK_HEME_METABOLISM
CBR3	1	HALLMARK_FATTY_ACID_METABOLISM
CBX3	1	HALLMARK_MYC_TARGETS_V1
CCDC58	1	HALLMARK_FATTY_ACID_METABOLISM
CCNE1	1	HALLMARK_IL2_STAT5_SIGNALING
CCNF	1	HALLMARK_MTORC1_SIGNALING
CCR1	1	HALLMARK_ALLOGRAFT_REJECTION
CCR7	1	HALLMARK_INFLAMMATORY_RESPONSE
CCT2	1	HALLMARK_MYC_TARGETS_V1
CCT3	1	HALLMARK_MYC_TARGETS_V1
CCT5	1	HALLMARK_MYC_TARGETS_V1
CCT6A	1	HALLMARK_MTORC1_SIGNALING
CCT7	1	HALLMARK_MYC_TARGETS_V1
CD247	1	HALLMARK_ALLOGRAFT_REJECTION
CD3D	1	HALLMARK_ALLOGRAFT_REJECTION
CD7	1	HALLMARK_ALLOGRAFT_REJECTION
CD8A	1	HALLMARK_ALLOGRAFT_REJECTION
CD96	1	HALLMARK_ALLOGRAFT_REJECTION
CDC27	1	HALLMARK_HEME_METABOLISM
CDKN1A	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
CDKN2C	1	HALLMARK_ADIPOGENESIS
CEBPG	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
CEL	1	HALLMARK_FATTY_ACID_METABOLISM
CHAC1	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
CHCHD10	1	HALLMARK_ADIPOGENESIS
CHST2	1	HALLMARK_INFLAMMATORY_RESPONSE
CKAP4	1	HALLMARK_IL2_STAT5_SIGNALING
CLCF1	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
CLNS1A	1	HALLMARK_MYC_TARGETS_V1
CNBP	1	HALLMARK_MYC_TARGETS_V1
COL15A1	1	HALLMARK_ADIPOGENESIS
COQ3	1	HALLMARK_ADIPOGENESIS
COQ5	1	HALLMARK_ADIPOGENESIS
COQ9	1	HALLMARK_ADIPOGENESIS
CORO1A	1	HALLMARK_MTORC1_SIGNALING
COX10	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
COX6A1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
COX6B1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
COX6C	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
COX7C	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
CPOX	1	HALLMARK_FATTY_ACID_METABOLISM
CPT2	1	HALLMARK_FATTY_ACID_METABOLISM
CS	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
CSF2RB	1	HALLMARK_IL6_JAK_STAT3_SIGNALING
CSNK2B	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
CTPS1	1	HALLMARK_MYC_TARGETS_V1
CUL1	1	HALLMARK_MYC_TARGETS_V1
CXCL1	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL2	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL8	1	HALLMARK_INFLAMMATORY_RESPONSE
CYC1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
CYCS	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
CYP4B1	1	HALLMARK_ADIPOGENESIS
D2HGDH	1	HALLMARK_FATTY_ACID_METABOLISM
DBT	1	HALLMARK_ADIPOGENESIS
DCP1A	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
DDX21	1	HALLMARK_MYC_TARGETS_V1
DEGS1	1	HALLMARK_ALLOGRAFT_REJECTION
DHCR24	1	HALLMARK_MTORC1_SIGNALING
DHFR	1	HALLMARK_MTORC1_SIGNALING
DKC1	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
DKK1	1	HALLMARK_WNT_BETA_CATENIN_SIGNALING
DNAJB4	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
DNAJB9	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
DNAJC3	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
DRAM2	1	HALLMARK_ADIPOGENESIS
DUSP1	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
DUSP3	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
DUSP4	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
DYNLT3	1	HALLMARK_ESTROGEN_RESPONSE_EARLY
E2F1	1	HALLMARK_PI3K_AKT_MTOR_SIGNALING
E2F2	1	HALLMARK_HEME_METABOLISM
EBP	1	HALLMARK_MTORC1_SIGNALING
ECI2	1	HALLMARK_FATTY_ACID_METABOLISM
EDC4	1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
EEF1B2	1	HALLMARK_MYC_TARGETS_V1
EHD1	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
EHHADH	1	HALLMARK_FATTY_ACID_METABOLISM
EIF2AK1	1	HALLMARK_HEME_METABOLISM
EIF3A	1	HALLMARK_ALLOGRAFT_REJECTION
