pathway	n_measured_genes	enriched_class	perc_signif_padj_0.05	ES_median	pval_median	padj_median	n_leading_edge_genes	leading_edge_genes
HALLMARK_IL2_STAT5_SIGNALING	191	Cases	100.0	 0.3608756	1.030855e-02	3.518523e-02	 49	ADAM19,AHCY,BATF,BCL2L1,BHLHE40,CASP3,CCNE1,CD48,CKAP4,CSF1,DENND5A,F2RL2,FLT3LG,FURIN,GABARAPL1,GADD45B,HK2,IFITM3,IL1RL1,IL2RB,IL4R,IRF4,ITGAE,LTB,MAFF,MAP3K8,MAPKAPK2,MYC,NFIL3,NFKBIZ,ODC1,P4HA1,PDCD2L,PHLDA1,PIM1,PLPP1,POU2F1,PRAF2,RGS16,RHOH,RNH1,SELL,SLC1A5,SLC2A3,SPRED2,SYNGR2,TNFRSF1B,UCK2,XBP1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	 40	Cases	 99.8	 0.5225504	1.080452e-02	3.607293e-02	 11	ADAM17,AXIN1,AXIN2,DKK1,FZD8,HDAC5,HEY1,HEY2,LEF1,MYC,TCF7
HALLMARK_PI3K_AKT_MTOR_SIGNALING	102	Cases	 98.7	 0.4092439	1.238582e-02	3.897931e-02	 46	ACACA,ACTR2,ADCY2,AKT1S1,ARF1,ARHGDIA,ATF1,CAB39,CDK4,CDKN1A,CSNK2B,CXCR4,DAPP1,DUSP3,E2F1,EIF4E,FASLG,FGF6,GNA14,GRB2,GRK2,GSK3B,HRAS,IL2RG,LCK,MAP2K3,MAP3K7,MAPK1,MAPKAP1,MYD88,NCK1,NFKBIB,NGF,PFN1,PPP1CA,PRKCB,PTPN11,RAC1,RAF1,SLA,SLC2A1,SQSTM1,THEM4,TNFRSF1A,UBE2N,VAV3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	Controls	100.0	-0.5018323	5.385117e-11	2.692558e-09	113	ACAA2,ACADSB,ACAT1,ACO2,AFG3L2,AIFM1,ALAS1,ALDH6A1,ATP5F1A,ATP5F1B,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,COX10,COX6A1,COX6B1,COX6C,COX7B,COX7C,CS,CYC1,CYCS,DECR1,DLAT,DLD,DLST,ECH1,ECHS1,ETFA,ETFB,ETFDH,FH,GLUD1,GOT2,GPI,HADHA,HADHB,HSPA9,IDH1,IMMT,ISCU,LDHB,LRPPRC,MDH1,MFN2,MPC1,MRPL15,MRPS22,MRPS30,MTRF1,MTRR,MTX2,NDUFA1,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFA9,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB5,NDUFB8,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NNT,OGDH,PDHA1,PDHB,PDK4,PHYH,RETSAT,RHOT1,RHOT2,SDHA,SDHB,SDHC,SDHD,SLC25A11,SLC25A12,SLC25A3,SLC25A4,SLC25A6,SUCLA2,SUCLG1,SUPV3L1,TIMM17A,TIMM50,TOMM70,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ,VDAC2,VDAC3
HALLMARK_FATTY_ACID_METABOLISM	150	Controls	100.0	-0.3851647	7.058910e-04	4.365866e-03	 66	AADAT,ACAA2,ACADS,ACO2,ACOT2,ACSL1,ACSL5,ACSM3,ADH1C,ADIPOR2,ALAD,ALDH1A1,AOC3,AQP7,BCKDHB,BPHL,CA4,CBR3,CCDC58,CD36,CEL,CIDEA,CPOX,CPT2,D2HGDH,DECR1,DLD,DLST,ECH1,ECHS1,ECI2,EHHADH,ENO3,EPHX1,ETFDH,FH,FMO1,GCDH,GLUL,HADHB,HIBCH,HMGCL,HSD17B11,HSD17B4,HSDL2,HSP90AA1,IDH1,INMT,LTC4S,MCEE,MDH1,MLYCD,OSTC,PDHA1,PDHB,PPARA,PRDX6,PTPRG,RETSAT,SDHA,SDHC,SDHD,SUCLA2,SUCLG1,SUCLG2,UGDH
HALLMARK_ADIPOGENESIS	197	Controls	100.0	-0.3324815	5.340788e-03	2.121422e-02	 54	ABCB8,ACAA2,ACO2,AIFM1,ALDH2,ANGPT1,ATP5PO,C3,CD36,CDKN2C,CHCHD10,CIDEA,COL15A1,COQ3,COQ5,COQ9,COX7B,CYP4B1,DBT,DECR1,DLAT,DLD,DRAM2,ECHS1,ELMOD3,ETFB,FZD4,GPAM,HIBCH,IDH1,IMMT,ITSN1,LIFR,LPL,MCCC1,MIGA2,MRPL15,MTARC2,MYLK,NABP1,NDUFA5,NDUFAB1,NDUFS3,PDCD4,PFKL,PHYH,PTCD3,SCP2,SDHC,SLC27A1,SOWAHC,SPARCL1,SUCLG1,UBC
REACTOME_INNATE_IMMUNE_SYSTEM	 868	Cases	100.0	 0.4005024	1.168953e-13	3.411005e-10	249	ACP3,ACTR1B,ADAM8,ADGRE3,ADGRG3,AHCYL1,AMPD3,ANO6,ARHGAP45,ARHGAP9,ARL8A,ARMC8,ARPC2,ATF1,ATOX1,ATP6V0A2,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1E1,ATP6V1E2,ATP6V1G1,ATP7A,BCL2L1,BIN2,BRI3,C5AR1,C5AR2,C6orf120,CAB39,CANT1,CAPN1,CD300A,CD300E,CD300LB,CD63,CDC42,CEACAM3,CFP,CHUK,CKAP4,CLEC4A,CLEC4E,CLEC7A,COTL1,CPPED1,CSNK2B,CTSG,CXCL1,CXCR1,CXCR2,CYB5R3,CYLD,CYSTM1,DDOST,DEGS1,DGAT1,DHX36,DIAPH1,DNAJC3,DNAJC5,DNASE1L1,DOK3,DPP7,DUSP3,DUSP4,DYNC1LI1,DYNLT1,FADD,FAF2,FCGR3A,FCGR3B,FCN1,FGR,FPR1,FPR2,GCA,GGH,GNLY,GRAP2,GYG1,HBB,HCK,HK3,HLA-A,HRAS,HSPA1A,HSPA1B,HSPA6,IKBKG,IL1B,ILF2,IMPDH2,IRAK1,IRF7,ISG15,ITCH,ITGAL,ITGAX,ITK,KCMF1,KCNAB2,KLRD1,KLRK1,KRAS,KRT1,LCK,LILRB2,LILRB3,LPCAT1,LRG1,LRRFIP1,LYN,MAGT1,MAP2K3,MAP3K14,MAP3K7,MAP3K8,MAPK1,MAPKAPK2,MEF2A,MEF2C,MEFV,MGAM,MMP25,MMP9,MUC20,MYD88,NCF1,NCF4,NCK1,NFAM1,NFATC1,NFKB1,NFKBIB,NKIRAS2,NLRC3,NLRP3,NOD2,ORMDL3,OSCAR,OTUD5,PAFAH1B2,PDAP1,PDZD11,PELI3,PIK3R2,PLAC8,PLAUR,POLR3C,POLR3GL,PPBP,PPP2CA,PPP2CB,PPP2R5D,PRDX4,PRKCD,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PSTPIP1,PTPN11,PTPN6,PTPRJ,QPCT,QSOX1,RAB44,RAB4B,RAB5C,RAC1,RAC2,RAF1,RAP2C,RASGRP4,RELA,RELB,RHOA,RHOG,RIPK2,S100A8,S100A9,SELL,SERPINA1,SFTPD,SIGLEC9,SIRPA,SIRPB1,SLC11A1,SLC15A4,SLC2A3,STBD1,SURF4,SVIP,TANK,TAX1BP1,TBC1D10C,TICAM1,TLR2,TLR8,TMBIM1,TMC6,TMEM179B,TNFAIP3,TNFAIP6,TNFRSF1B,TNIP2,TOM1,TRAF3,TRAPPC1,TREM1,TREX1,TUBB4B,UBA52,UBE2D2,UBE2M,UBE2N,VAV3,VCP,VPS35L,WAS,WASF3,WIPF3,XRCC5,XRCC6,ZBP1
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	 703	Cases	100.0	 0.4006803	2.873237e-11	3.867972e-08	214	ACTR1A,ACTR1B,AHCYL1,ANAPC13,AP1S2,ARF1,ARIH2,ASB13,ASB2,ASB5,ASB6,BLMH,BTLA,BTN2A1,CCNF,CD101,CD22,CD247,CD300A,CD300C,CD300E,CD300LB,CD300LF,CD3D,CD8A,CD96,CDC26,CDC27,CDC42,CHUK,CTSF,CUL7,DAPP1,DCTN6,DYNC1I1,DYNC1LI1,ELOB,ELOC,ENAH,ERAP2,FBXL15,FBXL5,FBXL8,FBXO10,FBXO2,FBXO21,FBXO9,FBXW4,FBXW5,FBXW7,FCGR1A,FCGR1B,FCGR3A,FYB1,GRAP2,HLA-A,HRAS,HSPA5,IKBKG,ITCH,ITGAL,ITGB1,ITGB2,ITGB7,ITK,JAML,KBTBD6,KCTD6,KEAP1,KIF4B,KIF5B,KLC2,KLHL41,KLRB1,KLRC1,KLRD1,KLRF1,KLRK1,KRAS,LCK,LILRA1,LILRA5,LILRB2,LILRB3,LRRC41,LYN,MAP3K14,MAP3K7,MAP3K8,MAPKAP1,MEX3C,MICB,MKRN1,MLST8,MYD88,NCF1,NCF4,NCK1,NECTIN2,NFATC1,NFKB1,NFKBIB,NFKBIE,ORAI2,OSCAR,PIK3R2,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PRKCB,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PTPN11,PTPN6,PTPRJ,PVR,RAC1,RAF1,RAP1GAP2,RBCK1,RBX1,RELA,RICTOR,RIPK2,RNF114,RNF115,RNF126,RNF138,RNF19A,RNF19B,RNF25,RNF34,RNF4,RNF6,S100A8,S100A9,SEC13,SEC24A,SEC24C,SEC61A1,SEC61A2,SEC61B,SELL,SFTPD,SH2D1A,SH2D1B,SH3RF1,SIAH1,SIAH2,SIGLEC10,SIGLEC6,SIGLEC9,SIPA1,SLAMF7,SMURF1,SPSB2,SPSB4,SPTBN2,STUB1,STX4,THOP1,TLR2,TRAF7,TREM1,TREML1,TREML2,TRIM11,TRIM39,TRIM41,TRIM50,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBA52,UBE2A,UBE2D2,UBE2E2,UBE2F,UBE2J2,UBE2M,UBE2N,UBE2S,UBOX5,WAS,YWHAZ,ZNRF2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	 613	Cases	100.0	 0.4096958	6.184909e-11	6.244270e-08	202	ADAM17,AGER,ARF1,ATF1,BATF,BCL2L1,BOLA2,CA1,CAMK2A,CAMK2B,CAMK2D,CASP3,CCL2,CCL5,CCR1,CDC42,CHUK,CLCF1,CNTF,CRKL,CRLF1,CSF1,CSF2RB,CSF3R,CTSG,CXCL1,CXCL2,CXCL8,DUSP3,DUSP4,EIF4A1,EIF4A2,EIF4E,EIF4G1,EIF4G3,ELOB,ELOC,FCGR1A,FCGR1B,FLT3LG,FPR1,GBP5,GRAP2,HCK,HLA-A,HNRNPF,HRAS,IFI27,IFI6,IFITM2,IFITM3,IFNAR2,IKBKG,IL10RB,IL12RB1,IL12RB2,IL13RA1,IL15RA,IL18,IL18R1,IL18RAP,IL1B,IL1R1,IL1RAP,IL1RL1,IL1RL2,IL1RN,IL20RB,IL22RA1,IL27RA,IL2RB,IL2RG,IL31RA,IL4R,IL7R,IRAK1,IRF1,IRF2,IRF4,IRF7,ISG15,ISG20,ITGAX,ITGB1,ITGB2,JAK2,JAK3,KPNA1,KPNA2,KPNA4,KRAS,LCK,LCP1,LGALS9,LTB,LYN,MAP2K1,MAP2K3,MAP3K14,MAP3K3,MAP3K7,MAP3K8,MAPK1,MAPKAPK2,MEF2A,MEF2C,MMP3,MMP9,MYC,MYD88,NCAM1,NFKB1,NFKBIB,NKIRAS2,NOD2,NUP153,NUP188,NUP50,NUP62,NUP85,NUP88,NUP93,OASL,OPRD1,P4HB,PELI3,PIK3R2,PIM1,PITPNA,POU2F1,PPP2CA,PPP2CB,PPP2R5D,PRKCD,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PTK2B,PTPN1,PTPN11,PTPN6,PTPRJ,RAE1,RANBP2,RBX1,RELA,RELB,RIPK2,RORC,RPLP0,SEC13,SLA,SLA2,SNRPA1,SOCS6,SOD1,SQSTM1,STX3,STX4,STXBP2,TNFRSF12A,TNFRSF13C,TNFRSF1A,TNFRSF1B,TNFSF14,TNFSF9,TNIP2,TP53,TRAF3,TRIM26,TRIM35,TRIM62,UBA52,UBE2D2,UBE2M,UBE2N,USP18,YWHAZ
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY	  65	Cases	100.0	 0.6861608	1.583152e-09	7.998151e-07	 39	CCNE1,FBXW7,GPR37,HSPA14,HSPA1A,HSPA1B,HSPA4,HSPA5,HSPA6,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,RNF19A,SIAH1,SIAH2,SNCA,STUB1,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBE2J1,UBE2J2
REACTOME_INFECTIOUS_DISEASE	 767	Cases	100.0	 0.3662022	2.661738e-08	7.801915e-06	216	ADAM17,ADCY8,ADM,AHCYL1,AP1M1,AP1S2,ARF1,ARPC2,ARPC4,ATP1A2,ATP1A4,ATP1B1,ATP1B3,BECN1,BRMS1,CD247,CDC42,CHD4,CHMP1A,CHMP2A,CHMP2B,CHMP4B,CHMP5,CHMP6,CORO1A,CPSF4,CTDP1,CTSG,CXCR4,DAXX,DDOST,DDX5,DNAJC3,DUSP16,DYNC1I1,DYNC1LI1,ELL,ELOB,ELOC,ERCC2,FAU,FCGR1A,FCGR3A,FGR,FURIN,FXYD7,GALNT1,GATAD2A,GNAZ,GNB2,GNB3,GNG12,GNG5,GPR176,GPS2,GRB2,GSK3A,GTF2B,GTF2E2,H2AC19,H2BC11,H2BC4,H2BC5,HBEGF,HCK,HDAC3,HGS,HLA-A,HMG20B,HMGA1,HSPA1A,HTR7,IFNAR2,IL18,IL1B,IL1R1,IL6R,IMPDH2,IPO5,ISG15,ITGB1,JAK2,JAK3,KPNA1,KPNA2,KPNA4,LCK,LIG4,LYN,MAGT1,MAP2K1,MAP2K2,MAP2K3,MAPK1,MBD3,MEFV,NCK1,NELFE,NFKB1,NLRP3,NMT1,NMT2,NPM1,NUP153,NUP188,NUP50,NUP62,NUP85,NUP88,NUP93,POLR2B,POLR2C,POLR2L,PRKAR1B,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PSTPIP1,PTGIR,PTH2R,RAB5A,RAC1,RAE1,RAN,RANBP2,RANGAP1,RBX1,RCC1,RCOR1,RELA,RPL13,RPL18A,RPL19,RPL26L1,RPL36AL,RPLP0,RPLP1,RPN1,RPN2,RPS10,RPS15,RPS16,RPS19,RPS23,RPS26,RPS9,RPSA,SAP18,SCT,SEC13,SH3GL1,SSRP1,ST3GAL1,ST3GAL2,ST6GALNAC2,ST6GALNAC4,STAM,SUDS3,SV2C,TAF10,TAF11,TAF7,TAF9B,TBL1XR1,TLR2,TRIM28,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,TXNRD1,UBA52,UBAP1,UVRAG,VAMP1,VAV3,VCP,VIPR2,VPS33B,VPS37A,VPS37C,VPS4A,VTA1,WAS,WASF3,WIPF3,XRCC4,XRCC5,XRCC6,ZBP1
REACTOME_METABOLISM_OF_POLYAMINES	  58	Cases	100.0	 0.6553482	2.861736e-07	5.401759e-05	 33	AMD1,AZIN1,AZIN2,OAZ1,OAZ3,ODC1,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,SMOX,SRM
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	  71	Cases	100.0	 0.6223258	3.023001e-07	5.559150e-05	 32	FKBPL,MAPRE1,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBA52
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	  84	Cases	100.0	 0.5901554	5.181137e-07	8.419572e-05	 37	AXIN1,AXIN2,LEF1,MYC,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RBX1,TCF7,TLE3,TLE5,UBA52
