ENSG	name	logFC	P.Value
ENSG00000144635	DYNC1LI1	 1.88e-01	4.59e-05
ENSG00000213516	RBMXL1	-1.62e-01	4.79e-05
ENSG00000162390	ACOT11	-8.51e-01	4.88e-05
ENSG00000114030	KPNA1	 1.87e-01	4.98e-05
ENSG00000164463	CREBRF	-2.08e-01	5.00e-05
ENSG00000140450	ARRDC4	 5.15e-01	5.46e-05
ENSG00000161298	ZNF382	-6.41e-01	5.64e-05
ENSG00000183778	B3GALT5	 1.10e+00	5.72e-05
ENSG00000108639	SYNGR2	 2.52e-01	5.86e-05
ENSG00000117616	RSRP1	-2.70e-01	6.26e-05
ENSG00000111266	DUSP16	 2.52e-01	6.29e-05
ENSG00000196605	ZNF846	-1.85e-01	6.29e-05
ENSG00000153066	TXNDC11	 1.97e-01	6.60e-05
ENSG00000161956	SENP3	 1.26e-01	6.67e-05
ENSG00000146426	TIAM2	 6.05e-01	6.67e-05
ENSG00000159708	LRRC36	 2.00e+00	6.67e-05
ENSG00000184730	APOBR	 6.28e-01	6.85e-05
ENSG00000161036	LRWD1	 2.25e-01	7.04e-05
ENSG00000214367	HAUS3	-1.47e-01	7.05e-05
ENSG00000148677	ANKRD1	 1.31e+00	7.14e-05
ENSG00000170677	SOCS6	 2.30e-01	7.21e-05
ENSG00000196470	SIAH1	 2.64e-01	7.57e-05
ENSG00000085982	USP40	-2.17e-01	7.64e-05
ENSG00000214029	ZNF891	-2.53e-01	7.71e-05
ENSG00000198742	SMURF1	 3.07e-01	7.85e-05
ENSG00000050820	BCAR1	 2.94e-01	7.96e-05
ENSG00000169217	CD2BP2	 1.41e-01	8.03e-05
ENSG00000189367	KIAA0408	-4.38e-01	8.15e-05
ENSG00000158796	DEDD	 1.66e-01	8.22e-05
ENSG00000139579	NABP2	 3.14e-01	8.33e-05
ENSG00000071127	WDR1	 2.11e-01	8.33e-05
ENSG00000108799	EZH1	-1.59e-01	8.34e-05
ENSG00000184545	DUSP8	 4.72e-01	8.45e-05
ENSG00000168826	ZBTB49	 2.92e-01	8.55e-05
ENSG00000172175	MALT1	-2.57e-01	8.73e-05
ENSG00000170271	FAXDC2	-2.97e-01	8.77e-05
ENSG00000139364	TMEM132B	 1.06e+00	8.85e-05
ENSG00000156853	ZNF689	 2.14e-01	8.94e-05
ENSG00000238243	OR2W3	 1.40e+00	9.20e-05
ENSG00000133661	SFTPD	 9.67e-01	9.29e-05
ENSG00000066427	ATXN3	-2.04e-01	9.45e-05
ENSG00000103257	SLC7A5	 4.80e-01	9.49e-05
ENSG00000135821	GLUL	-5.48e-01	9.52e-05
ENSG00000186792	HYAL3	 4.97e-01	9.65e-05
ENSG00000185105	MYADML2	 3.87e-01	9.77e-05
ENSG00000196967	ZNF585A	-2.03e-01	9.90e-05
ENSG00000163464	CXCR1	 1.07e+00	9.93e-05
ENSG00000110665	C11orf21	 6.50e-01	1.02e-04
ENSG00000111271	ACAD10	-2.37e-01	1.03e-04
ENSG00000166446	CDYL2	 4.98e-01	1.03e-04
ENSG00000103942	HOMER2	 3.36e-01	1.06e-04
ENSG00000114742	WDR48	-1.16e-01	1.10e-04
ENSG00000143384	MCL1	-1.99e-01	1.10e-04
ENSG00000151789	ZNF385D	-4.63e-01	1.12e-04
ENSG00000223609	HBD	 1.33e+00	1.16e-04
ENSG00000187957	DNER	 1.12e+00	1.16e-04
ENSG00000170956	CEACAM3	 1.03e+00	1.18e-04
ENSG00000198471	RTP2	 8.88e-01	1.18e-04
ENSG00000180901	KCTD2	 1.65e-01	1.18e-04
ENSG00000094796	KRT31	 8.60e-01	1.20e-04
ENSG00000198954	KIF1BP	 2.30e-01	1.22e-04
ENSG00000040633	PHF23	 2.44e-01	1.26e-04
ENSG00000185800	DMWD	 2.02e-01	1.29e-04
ENSG00000188938	FAM120AOS	 2.05e-01	1.33e-04
ENSG00000184313	MROH7	-7.21e-01	1.34e-04
ENSG00000160190	SLC37A1	 2.99e-01	1.34e-04
ENSG00000064547	LPAR2	 4.61e-01	1.36e-04
ENSG00000161179	YDJC	 3.23e-01	1.36e-04
ENSG00000154262	ABCA6	-2.52e-01	1.40e-04
ENSG00000173535	TNFRSF10C	 6.39e-01	1.41e-04
ENSG00000007968	E2F2	 9.62e-01	1.44e-04
ENSG00000174804	FZD4	-2.57e-01	1.44e-04
ENSG00000109099	PMP22	 4.26e-01	1.47e-04
ENSG00000127081	ZNF484	-1.74e-01	1.48e-04
ENSG00000166946	CCNDBP1	 1.87e-01	1.51e-04
ENSG00000126254	RBM42	 1.71e-01	1.51e-04
ENSG00000183010	PYCR1	 4.34e-01	1.52e-04
ENSG00000166947	EPB42	 1.11e+00	1.57e-04
ENSG00000129158	SERGEF	 2.59e-01	1.58e-04
ENSG00000105639	JAK3	 4.96e-01	1.60e-04
ENSG00000073150	PANX2	 1.02e+00	1.62e-04
ENSG00000030419	IKZF2	-2.85e-01	1.62e-04
ENSG00000197933	ZNF823	-1.92e-01	1.63e-04
ENSG00000196083	IL1RAP	 3.72e-01	1.64e-04
ENSG00000028137	TNFRSF1B	 2.61e-01	1.67e-04
ENSG00000265241	RBM8A	 1.68e-01	1.67e-04
ENSG00000182022	CHST15	 4.54e-01	1.68e-04
ENSG00000181220	ZNF746	 1.62e-01	1.69e-04
ENSG00000100625	SIX4	-2.00e-01	1.69e-04
ENSG00000084733	RAB10	-3.62e-01	1.70e-04
ENSG00000112144	ICK	-2.12e-01	1.72e-04
ENSG00000122986	HVCN1	-3.21e-01	1.78e-04
ENSG00000111424	VDR	 6.08e-01	1.78e-04
ENSG00000139160	C12orf72	-1.81e-01	1.84e-04
ENSG00000167034	NKX3-1	 3.59e-01	1.86e-04
ENSG00000265491	RNF115	 3.18e-01	1.88e-04
ENSG00000137992	DBT	-2.48e-01	1.91e-04
ENSG00000141854	CTB-55O6.8	 3.03e-01	1.93e-04
ENSG00000186204	CYP4F12	-5.35e-01	1.93e-04
ENSG00000135473	PAN2	-2.09e-01	1.98e-04
ENSG00000008311	AASS	-3.85e-01	1.98e-04
ENSG00000134686	PHC2	 1.47e-01	1.98e-04
ENSG00000157778	PSMG3	 1.75e-01	2.00e-04
ENSG00000117899	MESDC2	-1.23e-01	2.02e-04
ENSG00000110841	PPFIBP1	-2.01e-01	2.03e-04
ENSG00000188227	ZNF793	-3.23e-01	2.04e-04
ENSG00000008853	RHOBTB2	 2.67e-01	2.06e-04
ENSG00000083454	P2RX5	 4.20e-01	2.10e-04
ENSG00000175505	CLCF1	 6.39e-01	2.16e-04
ENSG00000081692	JMJD4	 1.60e-01	2.18e-04
ENSG00000137094	DNAJB5	 2.81e-01	2.20e-04
ENSG00000178074	C2orf69	 2.21e-01	2.21e-04
ENSG00000242247	ARFGAP3	 1.50e-01	2.28e-04
ENSG00000175920	DOK7	 3.74e-01	2.34e-04
ENSG00000167637	ZNF283	-1.81e-01	2.36e-04
ENSG00000125633	CCDC93	-1.42e-01	2.49e-04
ENSG00000197249	SERPINA1	 7.87e-01	2.50e-04
ENSG00000146416	AIG1	-3.61e-01	2.50e-04
ENSG00000151694	ADAM17	 1.44e-01	2.52e-04
ENSG00000213859	KCTD11	 2.42e-01	2.53e-04
ENSG00000166337	TAF10	 1.97e-01	2.56e-04
ENSG00000204160	ZDHHC18	 1.40e-01	2.57e-04
ENSG00000125657	TNFSF9	 6.33e-01	2.57e-04
ENSG00000040199	PHLPP2	 2.46e-01	2.59e-04
ENSG00000050426	LETMD1	-2.17e-01	2.61e-04
ENSG00000196345	ZKSCAN7	-2.38e-01	2.67e-04
ENSG00000179295	PTPN11	 2.13e-01	2.70e-04
ENSG00000167972	ABCA3	 2.65e-01	2.74e-04
ENSG00000099889	ARVCF	 2.62e-01	2.75e-04
ENSG00000198482	ZNF808	-2.92e-01	2.78e-04
ENSG00000197147	LRRC8B	 3.99e-01	2.78e-04
ENSG00000137509	PRCP	-2.74e-01	2.82e-04
ENSG00000154845	PPP4R1	 1.22e-01	2.86e-04
ENSG00000103184	SEC14L5	-7.20e-01	2.99e-04
ENSG00000174574	AKIRIN1	 1.91e-01	3.00e-04
ENSG00000101638	ST8SIA5	-5.98e-01	3.00e-04
ENSG00000119535	CSF3R	 7.76e-01	3.09e-04
ENSG00000131042	LILRB2	 4.86e-01	3.10e-04
ENSG00000168874	ATOH8	 4.52e-01	3.11e-04
ENSG00000119688	ABCD4	-2.13e-01	3.12e-04
ENSG00000156273	BACH1	 2.03e-01	3.12e-04
ENSG00000144559	TAMM41	-2.27e-01	3.13e-04
ENSG00000139132	FGD4	-2.68e-01	3.14e-04
ENSG00000171067	C11orf24	 2.18e-01	3.14e-04
ENSG00000122863	CHST3	 3.91e-01	3.23e-04
ENSG00000143179	UCK2	 4.30e-01	3.25e-04
ENSG00000171049	FPR2	 9.59e-01	3.27e-04
ENSG00000182263	FIGN	-3.51e-01	3.40e-04
ENSG00000143365	RORC	 2.70e-01	3.41e-04
ENSG00000123684	LPGAT1	 1.28e-01	3.41e-04
ENSG00000132300	PTCD3	-2.66e-01	3.41e-04
ENSG00000169877	AHSP	 1.31e+00	3.42e-04
ENSG00000131873	CHSY1	 2.26e-01	3.42e-04
ENSG00000106628	POLD2	 1.97e-01	3.44e-04
ENSG00000089101	CFAP61	 6.06e-01	3.44e-04
ENSG00000158615	PPP1R15B	 1.21e-01	3.47e-04
ENSG00000175287	PHYHD1	-6.17e-01	3.50e-04
ENSG00000156869	FRRS1	-2.62e-01	3.51e-04
ENSG00000257949	TEN1	 3.27e-01	3.51e-04
ENSG00000100678	SLC8A3	 3.34e-01	3.56e-04
ENSG00000020577	SAMD4A	 2.16e-01	3.59e-04
ENSG00000035115	SH3YL1	-2.64e-01	3.60e-04
ENSG00000159346	ADIPOR1	 1.75e-01	3.63e-04
ENSG00000181374	CCL13	-9.75e-01	3.64e-04
ENSG00000068323	TFE3	 1.44e-01	3.65e-04
ENSG00000164715	LMTK2	 2.92e-01	3.65e-04
ENSG00000271824	AC009014.3	 1.27e+00	3.72e-04
ENSG00000113739	STC2	 6.93e-01	3.73e-04
ENSG00000004939	SLC4A1	 1.08e+00	3.74e-04
ENSG00000105552	BCAT2	-3.21e-01	3.77e-04
ENSG00000269067	ZNF728	-6.25e-01	3.80e-04
ENSG00000104863	LIN7B	 3.55e-01	3.81e-04
ENSG00000158290	CUL4B	-1.27e-01	3.81e-04
ENSG00000176907	C8orf4	-4.47e-01	3.81e-04
ENSG00000177932	ZNF354C	-1.69e-01	3.81e-04
ENSG00000225614	ZNF469	 5.05e-01	3.84e-04
ENSG00000131089	ARHGEF9	-1.94e-01	3.85e-04
ENSG00000130165	ELOF1	 1.61e-01	3.89e-04
ENSG00000114739	ACVR2B	-2.71e-01	3.96e-04
ENSG00000203867	RBM20	 2.59e-01	3.98e-04
ENSG00000134716	CYP2J2	 3.22e-01	4.02e-04
ENSG00000164970	FAM219A	 1.90e-01	4.02e-04
ENSG00000197056	ZMYM1	-1.57e-01	4.04e-04
ENSG00000180871	CXCR2	 9.63e-01	4.06e-04
ENSG00000169016	E2F6	 1.71e-01	4.06e-04
ENSG00000106692	FKTN	-1.17e-01	4.09e-04
ENSG00000171163	ZNF692	-1.92e-01	4.11e-04
ENSG00000273604	EPOP	 4.63e-01	4.12e-04
ENSG00000253797	UTP14C	-8.62e-02	4.12e-04
ENSG00000115523	GNLY	 7.77e-01	4.12e-04
ENSG00000157551	KCNJ15	 7.44e-01	4.13e-04
ENSG00000137767	SQRDL	 1.88e-01	4.22e-04
ENSG00000124664	SPDEF	 1.18e+00	4.23e-04
ENSG00000112941	PAPD7	 1.54e-01	4.27e-04
ENSG00000083123	BCKDHB	-3.53e-01	4.29e-04
ENSG00000204420	MPIG6B	 7.75e-01	4.29e-04
ENSG00000065882	TBC1D1	 5.18e-01	4.31e-04
ENSG00000108551	RASD1	 6.39e-01	4.31e-04
ENSG00000198060	MARCH5	 1.32e-01	4.33e-04
ENSG00000124731	TREM1	 9.54e-01	4.34e-04
ENSG00000168032	ENTPD3	-6.34e-01	4.35e-04
ENSG00000172840	PDP2	-3.03e-01	4.46e-04
ENSG00000133424	LARGE	 2.51e-01	4.53e-04
ENSG00000106993	CDC37L1	 3.13e-01	4.55e-04
ENSG00000160075	SSU72	 1.53e-01	4.61e-04
ENSG00000132661	NXT1	 1.97e-01	4.66e-04
ENSG00000136738	STAM	 1.95e-01	4.71e-04
ENSG00000070087	PFN2	 2.65e-01	4.72e-04
ENSG00000145934	TENM2	-1.03e+00	4.77e-04
ENSG00000137814	HAUS2	 1.30e-01	4.80e-04
ENSG00000236287	ZBED5	 1.39e-01	4.88e-04
ENSG00000241360	PDXP	 3.14e-01	4.89e-04
ENSG00000154654	NCAM2	-5.01e-01	4.95e-04
ENSG00000276023	DUSP14	 3.23e-01	4.97e-04
ENSG00000224470	ATXN1L	 1.74e-01	4.98e-04
ENSG00000102290	PCDH11X	-9.78e-01	4.98e-04
ENSG00000173599	PC	-2.68e-01	5.01e-04
ENSG00000204356	NELFE	 1.73e-01	5.01e-04
ENSG00000162747	FCGR3B	 1.12e+00	5.01e-04
ENSG00000108064	TFAM	-1.69e-01	5.02e-04
ENSG00000167657	DAPK3	 2.96e-01	5.04e-04
ENSG00000254806	SYS1-DBNDD2	 8.44e-01	5.05e-04
ENSG00000099840	IZUMO4	-5.95e-01	5.06e-04
ENSG00000233757	AC092835.2	-2.25e-01	5.10e-04
ENSG00000075073	TACR2	 8.28e-01	5.11e-04
ENSG00000161999	JMJD8	 1.76e-01	5.12e-04
ENSG00000174276	ZNHIT2	 3.00e-01	5.22e-04
ENSG00000064651	SLC12A2	-3.62e-01	5.24e-04
ENSG00000005961	ITGA2B	 7.10e-01	5.27e-04
ENSG00000090487	SPG21	 2.46e-01	5.31e-04
ENSG00000158859	ADAMTS4	 6.61e-01	5.45e-04
ENSG00000167491	GATAD2A	 1.57e-01	5.46e-04
ENSG00000184465	WDR27	-2.72e-01	5.52e-04
ENSG00000111671	SPSB2	 3.32e-01	5.52e-04
ENSG00000185278	ZBTB37	-1.77e-01	5.58e-04
ENSG00000176396	EID2	 2.18e-01	5.59e-04
ENSG00000105516	DBP	-4.32e-01	5.64e-04
ENSG00000128923	FAM63B	-2.03e-01	5.64e-04
ENSG00000125457	MIF4GD	 2.05e-01	5.73e-04
ENSG00000146592	CREB5	 2.95e-01	5.77e-04
ENSG00000159387	IRX6	 8.57e-01	5.88e-04
ENSG00000185477	GPRIN3	-2.27e-01	5.88e-04
ENSG00000142449	FBN3	-7.59e-01	5.90e-04
ENSG00000109158	GABRA4	-1.53e+00	5.97e-04
ENSG00000204611	ZNF616	-1.83e-01	6.00e-04
ENSG00000077616	NAALAD2	-3.43e-01	6.06e-04
ENSG00000101421	CHMP4B	 1.45e-01	6.09e-04
ENSG00000131941	RHPN2	-4.83e-01	6.16e-04
ENSG00000198429	ZNF69	-3.74e-01	6.18e-04
ENSG00000274049	INO80B-WBP1	 4.58e-01	6.27e-04
ENSG00000166848	TERF2IP	 1.07e-01	6.31e-04
ENSG00000133138	TBC1D8B	-2.51e-01	6.32e-04
ENSG00000164078	MST1R	-3.53e-01	6.33e-04
ENSG00000171729	TMEM51	-4.19e-01	6.35e-04
ENSG00000094914	AAAS	-1.57e-01	6.54e-04
ENSG00000140332	TLE3	 3.76e-01	6.64e-04
ENSG00000167670	CHAF1A	 2.46e-01	6.67e-04
ENSG00000108771	DHX58	-2.80e-01	6.70e-04
ENSG00000189164	ZNF527	-1.96e-01	6.71e-04
ENSG00000154065	ANKRD29	-2.97e-01	6.76e-04
ENSG00000109762	SNX25	 1.56e-01	6.76e-04
ENSG00000095539	SEMA4G	-5.28e-01	6.79e-04
ENSG00000198208	RPS6KL1	 2.30e-01	6.80e-04
ENSG00000157540	DYRK1A	 1.32e-01	6.85e-04
ENSG00000140548	ZNF710	 2.41e-01	6.93e-04
ENSG00000126067	PSMB2	 1.11e-01	7.06e-04
ENSG00000119698	PPP4R4	 1.08e+00	7.09e-04
ENSG00000171865	RNASEH1	 1.21e-01	7.12e-04
ENSG00000107779	BMPR1A	 1.74e-01	7.13e-04
ENSG00000170802	FOXN2	-1.50e-01	7.25e-04
ENSG00000178038	ALS2CL	-2.62e-01	7.26e-04
ENSG00000163874	ZC3H12A	 5.16e-01	7.30e-04
ENSG00000142686	C1orf216	 1.67e-01	7.34e-04
ENSG00000126262	FFAR2	 1.00e+00	7.34e-04
ENSG00000100628	ASB2	 3.05e-01	7.35e-04
ENSG00000146414	SHPRH	-1.54e-01	7.35e-04
ENSG00000142186	SCYL1	 1.53e-01	7.41e-04
ENSG00000196428	TSC22D2	 1.59e-01	7.43e-04
ENSG00000197808	ZNF461	-2.13e-01	7.46e-04
ENSG00000070031	SCT	 9.95e-01	7.48e-04
ENSG00000113594	LIFR	-2.03e-01	7.49e-04
ENSG00000162757	C1orf74	-1.90e-01	7.50e-04
ENSG00000155090	KLF10	 5.21e-01	7.60e-04
ENSG00000048140	TSPAN17	 2.25e-01	7.63e-04
ENSG00000087495	PHACTR3	-8.89e-01	7.70e-04
ENSG00000130826	DKC1	 1.01e-01	7.72e-04
ENSG00000271723	MROH7-TTC4	-7.60e-01	7.72e-04
ENSG00000130818	ZNF426	-1.74e-01	7.74e-04
ENSG00000103485	QPRT	-5.78e-01	7.75e-04
ENSG00000186352	ANKRD37	 4.61e-01	7.76e-04
ENSG00000152591	DSPP	 8.04e-01	7.78e-04
ENSG00000113578	FGF1	-4.04e-01	7.79e-04
ENSG00000126010	GRPR	 4.75e-01	7.82e-04
ENSG00000149311	ATM	-1.40e-01	7.84e-04
ENSG00000179564	LSMEM2	 3.45e-01	7.89e-04
ENSG00000240849	TMEM189	 1.58e-01	7.91e-04
ENSG00000122085	MTERF4	-1.57e-01	8.01e-04
ENSG00000123405	NFE2	 5.59e-01	8.09e-04
ENSG00000143624	INTS3	-1.56e-01	8.13e-04
ENSG00000111186	WNT5B	-3.87e-01	8.15e-04
ENSG00000119397	CNTRL	-1.91e-01	8.18e-04
ENSG00000012171	SEMA3B	-2.49e-01	8.26e-04
ENSG00000120875	DUSP4	 8.75e-01	8.28e-04
ENSG00000149923	PPP4C	 1.58e-01	8.28e-04
ENSG00000178057	NDUFAF3	 1.67e-01	8.32e-04
ENSG00000124019	FAM124B	 5.56e-01	8.39e-04
ENSG00000143157	POGK	 1.43e-01	8.39e-04
ENSG00000119899	SLC17A5	 1.86e-01	8.42e-04
ENSG00000107951	MTPAP	-1.30e-01	8.45e-04
ENSG00000103569	AQP9	 9.37e-01	8.57e-04
ENSG00000108465	CDK5RAP3	-1.64e-01	8.63e-04
ENSG00000163735	CXCL5	 1.07e+00	8.64e-04
ENSG00000169918	OTUD7A	 2.58e-01	8.67e-04
ENSG00000198346	ZNF813	-2.11e-01	8.73e-04
ENSG00000170365	SMAD1	 1.41e-01	8.74e-04
ENSG00000013441	CLK1	-2.58e-01	8.79e-04
ENSG00000124256	ZBP1	 6.50e-01	8.85e-04
ENSG00000197451	HNRNPAB	 1.66e-01	8.90e-04
ENSG00000213020	ZNF611	-2.06e-01	8.96e-04
ENSG00000134697	GNL2	 1.22e-01	8.97e-04
ENSG00000234127	TRIM26	 1.04e-01	8.99e-04
ENSG00000164543	STK17A	 2.78e-01	9.00e-04
ENSG00000142347	MYO1F	 4.43e-01	9.01e-04
ENSG00000143398	PIP5K1A	 1.04e-01	9.03e-04
ENSG00000133020	MYH8	-1.40e+00	9.03e-04
ENSG00000188782	CATSPER4	 8.11e-01	9.04e-04
ENSG00000138413	IDH1	-2.23e-01	9.20e-04
ENSG00000265590	AP000275.65	 3.21e-01	9.23e-04
ENSG00000155906	RMND1	-1.83e-01	9.23e-04
ENSG00000060069	CTDP1	 1.72e-01	9.24e-04
ENSG00000108924	HLF	-2.51e-01	9.25e-04
ENSG00000015153	YAF2	 1.33e-01	9.36e-04
ENSG00000165887	ANKRD2	 7.82e-01	9.39e-04
ENSG00000261796	ISY1-RAB43	 1.60e-01	9.49e-04
ENSG00000091436	MAP3K20	 1.81e-01	9.55e-04
ENSG00000205250	E2F4	 1.36e-01	9.59e-04
ENSG00000260428	SCX	 6.06e-01	9.62e-04
ENSG00000168785	TSPAN5	 6.75e-01	9.66e-04
ENSG00000151651	ADAM8	 3.73e-01	9.66e-04
ENSG00000144029	MRPS5	-1.82e-01	9.75e-04
ENSG00000146151	HMGCLL1	-2.55e-01	9.81e-04
ENSG00000070950	RAD18	-1.61e-01	9.86e-04
ENSG00000203880	PCMTD2	-1.18e-01	9.92e-04
ENSG00000172007	RAB33B	-1.73e-01	9.95e-04
ENSG00000121775	TMEM39B	 1.83e-01	1.00e-03
ENSG00000130717	UCK1	 1.73e-01	1.01e-03
ENSG00000168395	ING5	-1.79e-01	1.01e-03
ENSG00000144792	ZNF660	-2.75e-01	1.03e-03
ENSG00000116260	QSOX1	 2.18e-01	1.04e-03
ENSG00000138279	ANXA7	 1.04e-01	1.05e-03
ENSG00000175699	RP11-1089B7.1	 1.09e+00	1.05e-03
ENSG00000176393	RNPEP	 1.78e-01	1.05e-03
ENSG00000180626	ZNF594	-1.79e-01	1.05e-03
ENSG00000069493	CLEC2D	-2.78e-01	1.06e-03
ENSG00000127948	POR	 2.01e-01	1.06e-03
ENSG00000226650	KIF4B	 5.41e-01	1.07e-03
ENSG00000185722	ANKFY1	-2.36e-01	1.07e-03
ENSG00000168803	ADAL	-2.69e-01	1.07e-03
ENSG00000006712	PAF1	 1.05e-01	1.07e-03
ENSG00000006283	CACNA1G	-6.50e-01	1.07e-03
ENSG00000067113	PLPP1	 2.35e-01	1.08e-03
ENSG00000000938	FGR	 4.18e-01	1.08e-03
ENSG00000069424	KCNAB2	 6.45e-01	1.08e-03
ENSG00000138246	DNAJC13	-1.14e-01	1.09e-03
ENSG00000118894	EEF2KMT	 2.11e-01	1.10e-03
ENSG00000227057	WDR46	 1.54e-01	1.11e-03
ENSG00000162998	FRZB	-9.64e-01	1.14e-03
ENSG00000255398	GPR109B	 8.87e-01	1.14e-03
ENSG00000152582	SPEF2	-2.44e-01	1.15e-03
ENSG00000132005	RFX1	 3.02e-01	1.15e-03
ENSG00000185829	ARL17A	-4.59e-01	1.16e-03
ENSG00000143546	S100A8	 9.02e-01	1.17e-03
ENSG00000068971	PPP2R5B	 1.77e-01	1.18e-03
ENSG00000152137	HSPB8	 3.39e-01	1.18e-03
ENSG00000215883	CYB5RL	-1.89e-01	1.18e-03
ENSG00000101986	ABCD1	 2.55e-01	1.19e-03
ENSG00000117632	STMN1	-2.73e-01	1.19e-03
ENSG00000111196	MAGOHB	-1.68e-01	1.20e-03
ENSG00000178409	BEND3	 2.34e-01	1.20e-03
ENSG00000130943	PKDREJ	-6.20e-01	1.21e-03
ENSG00000197461	PDGFA	 3.02e-01	1.23e-03
ENSG00000144040	SFXN5	 2.21e-01	1.24e-03
ENSG00000183281	PLGLB1	-6.41e-01	1.24e-03
ENSG00000127870	RNF6	 1.86e-01	1.25e-03
ENSG00000136059	VILL	-2.32e-01	1.25e-03
ENSG00000117586	TNFSF4	-2.72e-01	1.26e-03
ENSG00000084112	SSH1	 1.95e-01	1.26e-03
